date,files_for_date,rows,active_assets,failure_rows,newly_appearing_assets,disappearing_assets,coverage_status
2013-11-11,1,26280,26280,0,0,0,present
2013-11-12,1,26280,26280,17,0,17,present
2013-11-13,1,26323,26323,8,10,8,present
2013-11-14,1,26324,26324,9,7,9,present
2013-11-15,1,26549,26549,0,324,45,present
2013-11-16,1,26460,26460,1,1,1,present
2013-11-17,1,26505,26505,0,46,0,present
2013-11-18,1,26505,26505,0,0,0,present
2013-11-19,1,26505,26505,9,0,93,present
2013-11-20,1,26550,26550,6,51,6,present
2013-11-21,1,26549,26549,5,2,5,present
2013-11-22,1,26550,26550,11,4,11,present
2013-11-23,1,26550,26550,2,8,2,present
2013-11-24,1,26550,26550,0,0,0,present
2013-11-25,1,26550,26550,0,0,0,present
2013-11-26,1,26550,26550,4,0,4,present
2013-11-27,1,26550,26550,21,1,62,present
2013-11-28,1,26504,26504,0,16,0,present
2013-11-29,1,26504,26504,0,0,0,present
2013-11-30,1,26504,26504,0,0,0,present
2013-12-01,1,26504,26504,0,0,45,present
2013-12-02,1,26504,26504,4,0,4,present
2013-12-03,1,26504,26504,17,4,17,present
2013-12-04,1,26504,26504,13,10,15,present
2013-12-05,1,26504,26504,3,13,3,present
2013-12-06,1,26504,26504,3,3,5,present
2013-12-07,1,26505,26505,1,6,1,present
2013-12-08,1,26505,26505,0,1,0,present
2013-12-09,1,26505,26505,0,0,1,present
2013-12-10,1,26460,26460,0,0,0,present
2013-12-11,1,26595,26595,15,135,15,present
2013-12-12,1,26595,26595,10,11,10,present
2013-12-13,1,26730,26730,2,144,2,present
2013-12-14,1,26730,26730,0,2,0,present
2013-12-15,1,26730,26730,0,0,0,present
2013-12-16,1,26730,26730,5,0,4,present
2013-12-17,1,26729,26729,16,3,17,present
2013-12-18,1,26730,26730,8,18,8,present
2013-12-19,1,26730,26730,8,8,9,present
2013-12-20,1,27360,27360,8,639,188,present
2013-12-21,1,27222,27222,1,3,1,present
2013-12-22,1,27224,27224,0,1,0,present
2013-12-23,1,27224,27224,0,0,0,present
2013-12-24,1,27224,27224,0,0,0,present
2013-12-25,1,27224,27224,0,0,0,present
2013-12-26,1,27224,27224,0,0,0,present
2013-12-27,1,27224,27224,0,0,1,present
2013-12-28,1,27223,27223,0,0,0,present
2013-12-29,1,27223,27223,0,0,0,present
2013-12-30,1,27223,27223,8,0,8,present
2013-12-31,1,27223,27223,9,8,27223,present
