zip_file,internal_csv_path,file_name,schema_fingerprint,raw_column_name,normalized_column_name,column_position,sample_inferred_dtype,sample_non_null_count,sample_null_count,sample_values,unit_candidate,mapping_candidate,mapping_confidence,mapping_note
CALCE.zip,CALCE/CALCE_CX2-34_prism_LCO_25C_0-100_0.5-0.5C_e_cycle_data.csv,CALCE_CX2-34_prism_LCO_25C_0-100_0.5-0.5C_e_cycle_data.csv,schema_d2669a99bc63,Test_Time (s),test_time_s,4,float64,50,0,"[""22677.132"", ""36017.556"", ""49215.927"", ""62359.066"", ""75537.513""]",s,elapsed_time,high,explicit elapsed/test time column
CALCE.zip,CALCE/CALCE_CX2-34_prism_LCO_25C_0-100_0.5-0.5C_e_cycle_data.csv,CALCE_CX2-34_prism_LCO_25C_0-100_0.5-0.5C_e_cycle_data.csv,schema_d2669a99bc63,Min_Current (A),min_current_a,5,float64,50,0,"[""-1.35""]",A,unknown,none,"observed electrical measurement, not a requested mapping target"
CALCE.zip,CALCE/CALCE_CX2-34_prism_LCO_25C_0-100_0.5-0.5C_e_cycle_data.csv,CALCE_CX2-34_prism_LCO_25C_0-100_0.5-0.5C_e_cycle_data.csv,schema_d2669a99bc63,Max_Current (A),max_current_a,6,float64,50,0,"[""1.189"", ""1.181"", ""1.174"", ""1.17"", ""1.175""]",A,unknown,none,"observed electrical measurement, not a requested mapping target"
CALCE.zip,CALCE/CALCE_CX2-34_prism_LCO_25C_0-100_0.5-0.5C_e_cycle_data.csv,CALCE_CX2-34_prism_LCO_25C_0-100_0.5-0.5C_e_cycle_data.csv,schema_d2669a99bc63,Min_Voltage (V),min_voltage_v,7,float64,50,0,"[""2.699""]",V,unknown,none,"observed electrical measurement, not a requested mapping target"
CALCE.zip,CALCE/CALCE_CX2-34_prism_LCO_25C_0-100_0.5-0.5C_e_cycle_data.csv,CALCE_CX2-34_prism_LCO_25C_0-100_0.5-0.5C_e_cycle_data.csv,schema_d2669a99bc63,Max_Voltage (V),max_voltage_v,8,float64,50,0,"[""4.2"", ""4.199""]",V,unknown,none,"observed electrical measurement, not a requested mapping target"
CALCE.zip,CALCE/CALCE_CX2-34_prism_LCO_25C_0-100_0.5-0.5C_e_cycle_data.csv,CALCE_CX2-34_prism_LCO_25C_0-100_0.5-0.5C_e_cycle_data.csv,schema_d2669a99bc63,Charge_Capacity (Ah),charge_capacity_ah,9,float64,50,0,"[""1.357"", ""1.351"", ""1.348"", ""1.34"", ""1.336""]",Ah,charge_capacity,high,explicit charge capacity column
CALCE.zip,CALCE/CALCE_CX2-34_prism_LCO_25C_0-100_0.5-0.5C_e_cycle_data.csv,CALCE_CX2-34_prism_LCO_25C_0-100_0.5-0.5C_e_cycle_data.csv,schema_d2669a99bc63,Discharge_Capacity (Ah),discharge_capacity_ah,10,float64,50,0,"[""1.354"", ""1.348"", ""1.34"", ""1.337"", ""1.333""]",Ah,discharge_capacity,high,explicit discharge capacity column
CALCE.zip,CALCE/CALCE_CX2-34_prism_LCO_25C_0-100_0.5-0.5C_e_cycle_data.csv,CALCE_CX2-34_prism_LCO_25C_0-100_0.5-0.5C_e_cycle_data.csv,schema_d2669a99bc63,Charge_Energy (Wh),charge_energy_wh,11,float64,50,0,"[""5.431"", ""5.401"", ""5.389"", ""5.377"", ""5.353""]",Wh,charge_energy,high,explicit charge energy column
CALCE.zip,CALCE/CALCE_CX2-34_prism_LCO_25C_0-100_0.5-0.5C_e_cycle_data.csv,CALCE_CX2-34_prism_LCO_25C_0-100_0.5-0.5C_e_cycle_data.csv,schema_d2669a99bc63,Discharge_Energy (Wh),discharge_energy_wh,12,float64,50,0,"[""4.857"", ""4.868"", ""4.875"", ""4.85"", ""4.809""]",Wh,discharge_energy,high,explicit discharge energy column
CALCE.zip,CALCE/CALCE_CX2-36_prism_LCO_25C_0-100_0.5-0.5C_f_cycle_data.csv,CALCE_CX2-36_prism_LCO_25C_0-100_0.5-0.5C_f_cycle_data.csv,schema_d2669a99bc63,Cycle_Index,cycle_index,1,float64,50,0,"[""1.0"", ""2.0"", ""3.0"", ""4.0"", ""5.0""]",unknown,cycle_index,high,explicit cycle index/name
CALCE.zip,CALCE/CALCE_CX2-36_prism_LCO_25C_0-100_0.5-0.5C_f_cycle_data.csv,CALCE_CX2-36_prism_LCO_25C_0-100_0.5-0.5C_f_cycle_data.csv,schema_d2669a99bc63,Start_Time,start_time,2,float64,0,50,[],unknown,date_or_timestamp,high,explicit date/time column
CALCE.zip,CALCE/CALCE_CX2-36_prism_LCO_25C_0-100_0.5-0.5C_f_cycle_data.csv,CALCE_CX2-36_prism_LCO_25C_0-100_0.5-0.5C_f_cycle_data.csv,schema_d2669a99bc63,End_Time,end_time,3,float64,0,50,[],unknown,date_or_timestamp,high,explicit date/time column
CALCE.zip,CALCE/CALCE_CX2-36_prism_LCO_25C_0-100_0.5-0.5C_f_cycle_data.csv,CALCE_CX2-36_prism_LCO_25C_0-100_0.5-0.5C_f_cycle_data.csv,schema_d2669a99bc63,Test_Time (s),test_time_s,4,float64,50,0,"[""13640.301"", ""27098.127"", ""40431.49"", ""53860.826"", ""67279.171""]",s,elapsed_time,high,explicit elapsed/test time column
CALCE.zip,CALCE/CALCE_CX2-36_prism_LCO_25C_0-100_0.5-0.5C_f_cycle_data.csv,CALCE_CX2-36_prism_LCO_25C_0-100_0.5-0.5C_f_cycle_data.csv,schema_d2669a99bc63,Min_Current (A),min_current_a,5,float64,50,0,"[""-1.35"", ""-1.351"", ""-1.349""]",A,unknown,none,"observed electrical measurement, not a requested mapping target"
CALCE.zip,CALCE/CALCE_CX2-36_prism_LCO_25C_0-100_0.5-0.5C_f_cycle_data.csv,CALCE_CX2-36_prism_LCO_25C_0-100_0.5-0.5C_f_cycle_data.csv,schema_d2669a99bc63,Max_Current (A),max_current_a,6,float64,50,0,"[""1.186"", ""1.181"", ""1.189"", ""1.175"", ""1.166""]",A,unknown,none,"observed electrical measurement, not a requested mapping target"
CALCE.zip,CALCE/CALCE_CX2-36_prism_LCO_25C_0-100_0.5-0.5C_f_cycle_data.csv,CALCE_CX2-36_prism_LCO_25C_0-100_0.5-0.5C_f_cycle_data.csv,schema_d2669a99bc63,Min_Voltage (V),min_voltage_v,7,float64,50,0,"[""2.699""]",V,unknown,none,"observed electrical measurement, not a requested mapping target"
CALCE.zip,CALCE/CALCE_CX2-36_prism_LCO_25C_0-100_0.5-0.5C_f_cycle_data.csv,CALCE_CX2-36_prism_LCO_25C_0-100_0.5-0.5C_f_cycle_data.csv,schema_d2669a99bc63,Max_Voltage (V),max_voltage_v,8,float64,50,0,"[""4.2"", ""4.199"", ""4.198""]",V,unknown,none,"observed electrical measurement, not a requested mapping target"
CALCE.zip,CALCE/CALCE_CX2-36_prism_LCO_25C_0-100_0.5-0.5C_f_cycle_data.csv,CALCE_CX2-36_prism_LCO_25C_0-100_0.5-0.5C_f_cycle_data.csv,schema_d2669a99bc63,Charge_Capacity (Ah),charge_capacity_ah,9,float64,50,0,"[""1.38"", ""1.361"", ""1.368"", ""1.359"", ""1.357""]",Ah,charge_capacity,high,explicit charge capacity column
