zip_file,internal_csv_path,file_name,file_type,uncompressed_size_bytes,compressed_size_bytes,crc32
Michigan Formation.zip,Michigan Formation/MICH_MCForm33_pouch_NMC_45C_0-100_1-1C_c_cycle_data.csv,MICH_MCForm33_pouch_NMC_45C_0-100_1-1C_c_cycle_data.csv,cycle_data,33665,10516,9445fe44
Michigan Formation.zip,Michigan Formation/MICH_MCForm34_pouch_NMC_45C_0-100_1-1C_d_cycle_data.csv,MICH_MCForm34_pouch_NMC_45C_0-100_1-1C_d_cycle_data.csv,cycle_data,38886,11867,2f0cf3d0
Michigan Formation.zip,Michigan Formation/MICH_MCForm35_pouch_NMC_45C_0-100_1-1C_e_cycle_data.csv,MICH_MCForm35_pouch_NMC_45C_0-100_1-1C_e_cycle_data.csv,cycle_data,29854,9263,a40fe6c4
Michigan Formation.zip,Michigan Formation/MICH_MCForm36_pouch_NMC_45C_0-100_1-1C_f_cycle_data.csv,MICH_MCForm36_pouch_NMC_45C_0-100_1-1C_f_cycle_data.csv,cycle_data,36311,11271,ed267f3a
Michigan Formation.zip,Michigan Formation/MICH_MCForm37_pouch_NMC_45C_0-100_1-1C_g_cycle_data.csv,MICH_MCForm37_pouch_NMC_45C_0-100_1-1C_g_cycle_data.csv,cycle_data,36314,11109,e6a8c663
Michigan Formation.zip,Michigan Formation/MICH_MCForm38_pouch_NMC_45C_0-100_1-1C_h_cycle_data.csv,MICH_MCForm38_pouch_NMC_45C_0-100_1-1C_h_cycle_data.csv,cycle_data,33622,10503,78eb6e86
Michigan Formation.zip,Michigan Formation/MICH_MCForm39_pouch_NMC_45C_0-100_1-1C_i_cycle_data.csv,MICH_MCForm39_pouch_NMC_45C_0-100_1-1C_i_cycle_data.csv,cycle_data,36274,11273,fd8a4de4
Michigan Formation.zip,Michigan Formation/MICH_MCForm40_pouch_NMC_45C_0-100_1-1C_j_cycle_data.csv,MICH_MCForm40_pouch_NMC_45C_0-100_1-1C_j_cycle_data.csv,cycle_data,36043,11281,76b559c7
Oxford.zip,Oxford/OX_1-1_pouch_LCO_40C_0-100_2-1.84C_a_cycle_data.csv,OX_1-1_pouch_LCO_40C_0-100_2-1.84C_a_cycle_data.csv,cycle_data,5459,1771,ef216656
Oxford.zip,Oxford/OX_1-2_pouch_LCO_40C_0-100_2-1.84C_b_cycle_data.csv,OX_1-2_pouch_LCO_40C_0-100_2-1.84C_b_cycle_data.csv,cycle_data,5141,1680,38b49679
