schema_version,feature_set_id,feature_set_label,feature_id,feature_role,prediction_context,target_source,availability_timing,leakage_status,preprocessing_policy
2.2.5,known_structure_composition_physics_v1,B,transition_metal_fraction,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,metalloid_fraction,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,atomic_radius_weighted_mean__physics,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,atomic_radius_weighted_variance,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,atomic_radius_mismatch,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,electronegativity_weighted_mean__physics,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,electronegativity_weighted_variance,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,electronegativity_mismatch,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,configurational_mixing_entropy_j_per_mol_k,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,valence_electron_concentration,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_composition_physics_v1,B,number_of_elements,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_structure_only_v1,C,structure_volume_per_atom,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,known_relaxed_structure_required,allowed_feature,train_fold_only
2.2.5,known_structure_structure_only_v1,C,structure_density,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,known_relaxed_structure_required,allowed_feature,train_fold_only
2.2.5,known_structure_structure_only_v1,C,ordered_structure_flag,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,known_relaxed_structure_required,allowed_feature,train_fold_only
2.2.5,known_structure_structure_only_v1,C,nearest_neighbor_distance_mean,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,known_relaxed_structure_required,allowed_feature,train_fold_only
2.2.5,known_structure_structure_only_v1,C,nearest_neighbor_distance_std,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,known_relaxed_structure_required,allowed_feature,train_fold_only
2.2.5,known_structure_structure_only_v1,C,nearest_neighbor_distance_cv,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,known_relaxed_structure_required,allowed_feature,train_fold_only
2.2.5,known_structure_structure_only_v1,C,coordination_number_mean,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,known_relaxed_structure_required,allowed_feature,train_fold_only
2.2.5,known_structure_structure_only_v1,C,coordination_number_std,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,known_relaxed_structure_required,allowed_feature,train_fold_only
2.2.5,known_structure_structure_only_v1,C,crystal_system_category,categorical,known_structure_post_relaxation,original_v1_3_energy_above_hull,known_relaxed_structure_required,allowed_feature,train_fold_only
2.2.5,known_structure_structure_only_v1,C,space_group_number_category,categorical,known_structure_post_relaxation,original_v1_3_energy_above_hull,known_relaxed_structure_required,allowed_feature,train_fold_only
2.2.5,known_structure_baseline_plus_structure_v1,D,composition_element_count,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_baseline_plus_structure_v1,D,composition_fraction_min,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_baseline_plus_structure_v1,D,composition_fraction_max,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_baseline_plus_structure_v1,D,composition_fraction_range,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_baseline_plus_structure_v1,D,composition_fraction_mean,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_baseline_plus_structure_v1,D,composition_fraction_std,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_baseline_plus_structure_v1,D,composition_fraction_entropy,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_baseline_plus_structure_v1,D,composition_fraction_l2_norm,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_baseline_plus_structure_v1,D,composition_dominant_fraction,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_baseline_plus_structure_v1,D,atomic_number_weighted_mean,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_baseline_plus_structure_v1,D,atomic_number_minimum,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_baseline_plus_structure_v1,D,atomic_number_maximum,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_baseline_plus_structure_v1,D,atomic_number_range,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_baseline_plus_structure_v1,D,atomic_number_weighted_std,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_baseline_plus_structure_v1,D,pairwise_mismatch_atomic_number,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_baseline_plus_structure_v1,D,atomic_mass_weighted_mean,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_baseline_plus_structure_v1,D,atomic_mass_minimum,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_baseline_plus_structure_v1,D,atomic_mass_maximum,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_baseline_plus_structure_v1,D,atomic_mass_range,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_baseline_plus_structure_v1,D,atomic_mass_weighted_std,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_baseline_plus_structure_v1,D,pairwise_mismatch_atomic_mass,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
2.2.5,known_structure_baseline_plus_structure_v1,D,periodic_row_weighted_mean,numeric,known_structure_post_relaxation,original_v1_3_energy_above_hull,composition_available,allowed_feature,train_fold_only
