zip_file,internal_csv_path,file_name,schema_fingerprint,raw_row_count,normalized_row_count,dropped_blank_row_count,invalid_cycle_index_count,invalid_charge_capacity_count,invalid_discharge_capacity_count,invalid_charge_energy_count,invalid_discharge_energy_count,metadata_join_status,load_status,load_message
Michigan Formation.zip,Michigan Formation/MICH_BLForm13_pouch_NMC_25C_0-100_1-1C_c_cycle_data.csv,MICH_BLForm13_pouch_NMC_25C_0-100_1-1C_c_cycle_data.csv,schema_63d0cb98b657,463,463,0,0,0,0,0,0,matched,success,
Michigan Formation.zip,Michigan Formation/MICH_BLForm14_pouch_NMC_25C_0-100_1-1C_d_cycle_data.csv,MICH_BLForm14_pouch_NMC_25C_0-100_1-1C_d_cycle_data.csv,schema_63d0cb98b657,506,506,0,0,0,0,0,0,matched,success,
Michigan Formation.zip,Michigan Formation/MICH_BLForm15_pouch_NMC_25C_0-100_1-1C_e_cycle_data.csv,MICH_BLForm15_pouch_NMC_25C_0-100_1-1C_e_cycle_data.csv,schema_63d0cb98b657,469,469,0,0,0,0,0,0,matched,success,
Michigan Formation.zip,Michigan Formation/MICH_BLForm16_pouch_NMC_25C_0-100_1-1C_f_cycle_data.csv,MICH_BLForm16_pouch_NMC_25C_0-100_1-1C_f_cycle_data.csv,schema_63d0cb98b657,469,469,0,0,0,0,0,0,matched,success,
Michigan Formation.zip,Michigan Formation/MICH_BLForm17_pouch_NMC_25C_0-100_1-1C_g_cycle_data.csv,MICH_BLForm17_pouch_NMC_25C_0-100_1-1C_g_cycle_data.csv,schema_63d0cb98b657,470,470,0,0,0,0,0,0,matched,success,
Michigan Formation.zip,Michigan Formation/MICH_BLForm18_pouch_NMC_25C_0-100_1-1C_h_cycle_data.csv,MICH_BLForm18_pouch_NMC_25C_0-100_1-1C_h_cycle_data.csv,schema_63d0cb98b657,464,464,0,0,0,0,0,0,matched,success,
Michigan Formation.zip,Michigan Formation/MICH_BLForm19_pouch_NMC_25C_0-100_1-1C_i_cycle_data.csv,MICH_BLForm19_pouch_NMC_25C_0-100_1-1C_i_cycle_data.csv,schema_63d0cb98b657,469,469,0,0,0,0,0,0,matched,success,
Michigan Formation.zip,Michigan Formation/MICH_BLForm1_pouch_NMC_45C_0-100_1-1C_a_cycle_data.csv,MICH_BLForm1_pouch_NMC_45C_0-100_1-1C_a_cycle_data.csv,schema_63d0cb98b657,520,520,0,0,0,0,0,0,matched,success,
Michigan Formation.zip,Michigan Formation/MICH_BLForm20_pouch_NMC_25C_0-100_1-1C_j_cycle_data.csv,MICH_BLForm20_pouch_NMC_25C_0-100_1-1C_j_cycle_data.csv,schema_63d0cb98b657,468,468,0,0,0,0,0,0,matched,success,
Michigan Formation.zip,Michigan Formation/MICH_BLForm2_pouch_NMC_45C_0-100_1-1C_b_cycle_data.csv,MICH_BLForm2_pouch_NMC_45C_0-100_1-1C_b_cycle_data.csv,schema_63d0cb98b657,521,521,0,0,0,0,0,0,matched,success,
Michigan Formation.zip,Michigan Formation/MICH_BLForm3_pouch_NMC_45C_0-100_1-1C_c_cycle_data.csv,MICH_BLForm3_pouch_NMC_45C_0-100_1-1C_c_cycle_data.csv,schema_63d0cb98b657,542,542,0,0,0,0,0,0,matched,success,
