summary_type,model_name,split_id,stratum,row_count,failure_count,failure_rate,false_negative_count,false_positive_count,precision,recall,average_precision,mcc,score_min,score_median,score_max,row_missing_rate_median,retained_feature_count_median,timestamp_start,timestamp_end,status,predicted_positive_rate
temporal_block,dummy_prior,expanding_train_future_test_70_15,2,190,12,0.06315789473684211,12,0,,0.0,0.06315789473684211,,0.07116788321167883,0.07116788321167883,0.07116788321167883,0.02711864406779661,468.0,2008-09-27 00:17:00,2008-10-05 04:01:00,descriptive,
temporal_block,dummy_prior,expanding_train_future_test_70_15,3,24,5,0.20833333333333334,5,0,,0.0,0.20833333333333334,,0.07116788321167883,0.07116788321167883,0.07116788321167883,0.030508474576271184,468.0,2008-10-05 04:20:00,2008-10-05 18:59:00,descriptive,
missingness_quantile,dummy_prior,expanding_train_future_test_70_15,0,139,11,0.07913669064748201,11,0,,0.0,0.07913669064748201,,0.07116788321167883,0.07116788321167883,0.07116788321167883,0.020338983050847456,468.0,2008-09-26 03:12:00,2008-10-05 18:46:00,descriptive,
missingness_quantile,dummy_prior,expanding_train_future_test_70_15,1,34,5,0.14705882352941177,5,0,,0.0,0.14705882352941177,,0.07116788321167883,0.07116788321167883,0.07116788321167883,0.03389830508474576,468.0,2008-09-26 05:32:00,2008-10-05 16:49:00,descriptive,
missingness_quantile,dummy_prior,expanding_train_future_test_70_15,2,46,1,0.021739130434782608,1,0,,0.0,0.021739130434782608,,0.07116788321167883,0.07116788321167883,0.07116788321167883,0.04745762711864407,468.0,2008-09-26 04:14:00,2008-10-05 18:59:00,descriptive,
missingness_quantile,dummy_prior,expanding_train_future_test_70_15,3,16,0,0.0,0,0,,,,,0.07116788321167883,0.07116788321167883,0.07116788321167883,0.05423728813559322,468.0,2008-09-27 00:17:00,2008-10-05 09:47:00,descriptive,
threshold_sensitivity,dummy_prior,expanding_train_future_test_70_15,threshold=0.2,235,17,,17,0,,0.0,,,,0.07116788321167883,,,,,,descriptive,0.0
threshold_sensitivity,dummy_prior,expanding_train_future_test_70_15,threshold=0.5,235,17,,17,0,,0.0,,,,0.07116788321167883,,,,,,descriptive,0.0
threshold_sensitivity,dummy_prior,expanding_train_future_test_70_15,threshold=0.8,235,17,,17,0,,0.0,,,,0.07116788321167883,,,,,,descriptive,0.0
all,dummy_prior,final_holdout_period_80_20,all,314,17,0.054140127388535034,17,0,,0.0,0.054140127388535034,,0.06943335993615324,0.06943335993615324,0.06943335993615324,0.03389830508474576,468.0,2008-10-02 20:54:00,2008-10-17 06:07:00,descriptive,
temporal_block,dummy_prior,final_holdout_period_80_20,2,54,3,0.05555555555555555,3,0,,0.0,0.05555555555555555,,0.06943335993615324,0.06943335993615324,0.06943335993615324,0.02711864406779661,468.0,2008-10-02 20:54:00,2008-10-05 04:01:00,descriptive,
