reduced_formula_group,row_count,unique_material_id_count,unique_descriptor_vector_count,target_min,target_median,target_max,target_range,target_mean,target_std,target_mad,target_zero_count,mixed_zero_positive_status,theoretical_false_count,theoretical_true_count,polymorph_count,ambiguity_flag
Li2FeSiO5,6,6,1,0.0869880078703726,0.09549214425926239,0.1183908634259287,0.031402855555556095,0.09813031634259546,0.009837582248955564,0.0035084540277781004,0,not_mixed,0,6,6,True
Mg6FeSiO8,2,2,1,0.4128522518749982,0.4281301599999985,0.4434080681249988,0.03055581625000059,0.4281301599999985,0.015277908125000295,0.015277908125000295,0,not_mixed,0,2,2,True
Li2Fe5Si5O16,2,2,1,0.0503463587797643,0.06512640145833565,0.079906444136907,0.029560085357142704,0.06512640145833565,0.014780042678571352,0.014780042678571352,0,not_mixed,0,2,2,True
Li2Fe2Si8O19,3,3,1,0.0665822750268816,0.0691504121236565,0.0945518205107536,0.027969545483871996,0.0767615025537639,0.012623269301704966,0.0025681370967748918,0,not_mixed,0,3,3,True
Li2Fe(Si2O5)2,4,4,1,0.0530347310294114,0.0713631755882362,0.0798696807352943,0.026834949705882898,0.06890769073529453,0.010883187102028015,0.00759989566176425,0,not_mixed,0,4,4,True
Li3FeSi2O7,2,2,1,0.0361187867307748,0.04945989798077475,0.0628010092307747,0.026682222499999894,0.04945989798077475,0.013341111249999947,0.013341111249999947,0,not_mixed,0,2,2,True
Li4Fe3(SiO4)3,3,3,1,0.0916257604545496,0.1005474248863667,0.1167094557954584,0.02508369534090879,0.10296088037879157,0.010381602912502454,0.008921664431817092,0,not_mixed,0,3,3,True
Mn2Fe3(SiO4)3,2,2,1,0.1058273155416689,0.11830124085416924,0.1307751661666696,0.024947850625000698,0.11830124085416924,0.012473925312500349,0.012473925312500349,0,not_mixed,1,1,2,True
Al3FeSi2,2,2,1,0.00756826283805,0.019250442213049702,0.0309326215880494,0.0233643587499994,0.019250442213049702,0.011682179374999702,0.0116821793749997,0,not_mixed,1,1,2,True
FeSiO3,5,5,1,0.0153117265416682,0.0182157546666665,0.0364282893333367,0.0211165627916685,0.02174348896944588,0.007846225774782702,0.002904028124998301,0,not_mixed,4,1,5,True
Mg21FeSi12(HO16)3,2,2,1,0.1839677345252059,0.19315617911344146,0.202344623701677,0.018376889176471095,0.19315617911344146,0.009188444588235548,0.009188444588235548,0,not_mixed,0,2,2,True
FeSiMo,2,2,1,0.0436301452500007,0.0522197860833344,0.0608094269166681,0.0171792816666674,0.0522197860833344,0.0085896408333337,0.0085896408333337,0,not_mixed,0,2,2,True
Fe7(SiO6)2,2,2,1,0.0611021130952345,0.06957352428571095,0.0780449354761874,0.016942822380952904,0.06957352428571095,0.008471411190476452,0.008471411190476452,0,not_mixed,0,2,2,True
FeSiGe,2,2,1,0.1263283833333321,0.13460491104166555,0.142881438749999,0.016553055416666906,0.13460491104166555,0.008276527708333453,0.008276527708333453,0,not_mixed,0,2,2,True
Fe5(SiO4)3,2,2,1,0.0367485186250089,0.0441229877500086,0.0514974568750083,0.0147489382499994,0.0441229877500086,0.0073744691249997,0.0073744691249997,0,not_mixed,1,1,2,True
Mg6FeSi,2,2,1,0.3032585265625007,0.3104094046875005,0.3175602828125003,0.014301756249999631,0.3104094046875005,0.0071508781249998155,0.0071508781249998155,0,not_mixed,0,2,2,True
CaFe3Si2HO9,2,2,1,0.000700908177083,0.0077930927083329,0.0148852772395828,0.014184369062499801,0.0077930927083329,0.0070921845312499005,0.0070921845312499,0,not_mixed,2,0,2,True
