schema_version,record_type,feature_set_id,split_strategy,model_variant,metric,median,mean,min,max,valid_split_count,status
2.2.1,feature_set_metric,physics_only,chemical_system_group,histogram_gradient_boosting_log1p,r2,0.0037004557154972084,0.027600768870286396,-0.05566761096170403,0.13394151591353054,10,valid
2.2.1,feature_set_metric,physics_only,chemical_system_group,histogram_gradient_boosting_log1p,spearman,0.40916135014540345,0.3820039795882214,0.12814368134982249,0.5090798784451095,10,valid
2.2.1,feature_set_metric,physics_only,chemical_system_group,histogram_gradient_boosting_raw,mae,0.09047254157641792,0.09623409660919395,0.06947163980994672,0.15396643733403093,10,valid
2.2.1,feature_set_metric,physics_only,chemical_system_group,histogram_gradient_boosting_raw,rmse,0.14612788685364014,0.2412384032315626,0.12437616928215513,0.5619076059620661,10,valid
2.2.1,feature_set_metric,physics_only,chemical_system_group,histogram_gradient_boosting_raw,r2,-0.14560581573724496,-0.22104161216324458,-0.6952806029642402,-0.012660877099066603,10,valid
2.2.1,feature_set_metric,physics_only,chemical_system_group,histogram_gradient_boosting_raw,spearman,0.30375375887133693,0.31953663383465797,0.10790165910462426,0.5250486960125884,10,valid
2.2.1,feature_set_metric,physics_only,chemical_system_group,ridge_log1p,mae,0.07884405966158184,0.0883374089374848,0.0676907829587189,0.13577793253406462,10,valid
2.2.1,feature_set_metric,physics_only,chemical_system_group,ridge_log1p,rmse,0.11378795254425861,0.2255565056402995,0.10067661185382455,0.561997772021808,10,valid
2.2.1,feature_set_metric,physics_only,chemical_system_group,ridge_log1p,r2,0.009584593627310234,0.05382637724149173,-0.07119015380795313,0.2712095515982226,10,valid
2.2.1,feature_set_metric,physics_only,chemical_system_group,ridge_log1p,spearman,0.3563374914003512,0.32782424846080505,0.07756388430256637,0.6734459587320634,10,valid
2.2.1,feature_set_metric,physics_only,chemical_system_group,ridge_raw,mae,0.08920600536611512,0.09615050016689028,0.06826726541207473,0.13895029627702413,10,valid
2.2.1,feature_set_metric,physics_only,chemical_system_group,ridge_raw,rmse,0.12096164056101963,0.2299654365032655,0.0999233741107959,0.5621055412125028,10,valid
2.2.1,feature_set_metric,physics_only,chemical_system_group,ridge_raw,r2,-0.01265558632142083,-0.012777628669400331,-0.17698679519691107,0.28207401949150257,10,valid
2.2.1,feature_set_metric,physics_only,chemical_system_group,ridge_raw,spearman,0.2833141201284182,0.2879446933633095,0.03742467357309968,0.6357122115528412,10,valid
2.2.1,feature_set_metric,physics_only,random,dummy_median,mae,0.09941185414119301,0.09837114064002109,0.05577004259807595,0.13338493261748208,10,valid
2.2.1,feature_set_metric,physics_only,random,dummy_median,rmse,0.3276220648974787,0.3397360072669496,0.08902635179488963,0.5863828691753216,10,valid
2.2.1,feature_set_metric,physics_only,random,dummy_median,r2,-0.03730900250410352,-0.0518538525197715,-0.12218440889261384,-0.023499139250943823,10,valid
2.2.1,feature_set_metric,physics_only,random,histogram_gradient_boosting_log1p,mae,0.10288093248031104,0.09947797375868886,0.057201614427709026,0.1310287118372604,10,valid
2.2.1,feature_set_metric,physics_only,random,histogram_gradient_boosting_log1p,rmse,0.30896944559466377,0.3323082981138956,0.1108855828707972,0.5482153374971666,10,valid
2.2.1,feature_set_metric,physics_only,random,histogram_gradient_boosting_log1p,r2,0.053354732362786206,-0.24713505437091327,-2.534606301283831,0.149534585493721,10,valid
