member_name,member_type,parsed_date,compressed_size,uncompressed_size,valid_daily_csv,inclusion_status,exclusion_reason,duplicate_date_status,schema_status,notes
2013/2013-11-01.csv,valid_daily_csv,2013-11-01,411355,3889757,True,included,,unique_date,compatible,
2013/2013-11-02.csv,valid_daily_csv,2013-11-02,411513,3896319,True,included,,unique_date,compatible,
2013/2013-11-03.csv,valid_daily_csv,2013-11-03,411827,3896664,True,included,,unique_date,compatible,
2013/2013-11-04.csv,valid_daily_csv,2013-11-04,413999,3896555,True,included,,unique_date,compatible,
2013/2013-11-05.csv,valid_daily_csv,2013-11-05,412814,3896539,True,included,,unique_date,compatible,
2013/2013-11-06.csv,valid_daily_csv,2013-11-06,416614,3929265,True,included,,unique_date,compatible,
2013/2013-11-07.csv,valid_daily_csv,2013-11-07,417044,3935979,True,included,,unique_date,compatible,
2013/2013-11-08.csv,valid_daily_csv,2013-11-08,417002,3936206,True,included,,unique_date,compatible,
2013/2013-11-09.csv,valid_daily_csv,2013-11-09,423693,3987609,True,included,,unique_date,compatible,
2013/2013-11-10.csv,valid_daily_csv,2013-11-10,424308,3988413,True,included,,unique_date,compatible,
2013/2013-11-11.csv,valid_daily_csv,2013-11-11,424474,3988514,True,included,,unique_date,compatible,
2013/2013-11-12.csv,valid_daily_csv,2013-11-12,424001,3988283,True,included,,unique_date,compatible,
2013/2013-11-13.csv,valid_daily_csv,2013-11-13,424349,3994829,True,included,,unique_date,compatible,
2013/2013-11-14.csv,valid_daily_csv,2013-11-14,424991,3994704,True,included,,unique_date,compatible,
2013/2013-11-15.csv,valid_daily_csv,2013-11-15,429423,4026982,True,included,,unique_date,compatible,
2013/2013-11-16.csv,valid_daily_csv,2013-11-16,426856,4013893,True,included,,unique_date,compatible,
2013/2013-11-17.csv,valid_daily_csv,2013-11-17,427613,4020571,True,included,,unique_date,compatible,
2013/2013-11-18.csv,valid_daily_csv,2013-11-18,428676,4021130,True,included,,unique_date,compatible,
2013/2013-11-19.csv,valid_daily_csv,2013-11-19,429099,4021151,True,included,,unique_date,compatible,
2013/2013-11-20.csv,valid_daily_csv,2013-11-20,429948,4027576,True,included,,unique_date,compatible,
2013/2013-11-21.csv,valid_daily_csv,2013-11-21,429121,4027002,True,included,,unique_date,compatible,
