zip_file,internal_csv_path,file_name,file_type,uncompressed_size_bytes,compressed_size_bytes,crc32,filename_stem,cell_id,source,chemistry,form_factor,temperature_C,soc_min_pct,soc_max_pct,soc_window,charge_c_rate,discharge_c_rate,protocol_label,metadata_parse_status,metadata_parse_message
Michigan Expansion.zip,Michigan Expansion/MICH_10R_pouch_NMC_25C_0-100_0.2-1.5C_cycle_data.csv,MICH_10R_pouch_NMC_25C_0-100_0.2-1.5C_cycle_data.csv,cycle_data,27716,9227,2dac4de3,MICH_10R_pouch_NMC_25C_0-100_0.2-1.5C,MICH_10R,Michigan Expansion,NMC,pouch,25.0,0.0,100.0,0-100,0.2,1.5,NMC|pouch|25C|0-100|0.2-1.5C,parsed,
Michigan Expansion.zip,Michigan Expansion/MICH_11C_pouch_NMC_-5C_0-100_0.2-1.5C_cycle_data.csv,MICH_11C_pouch_NMC_-5C_0-100_0.2-1.5C_cycle_data.csv,cycle_data,33707,10942,f1540244,MICH_11C_pouch_NMC_-5C_0-100_0.2-1.5C,MICH_11C,Michigan Expansion,NMC,pouch,-5.0,0.0,100.0,0-100,0.2,1.5,NMC|pouch|-5C|0-100|0.2-1.5C,parsed,
Michigan Expansion.zip,Michigan Expansion/MICH_12H_pouch_NMC_45C_0-100_0.2-1.5C_cycle_data.csv,MICH_12H_pouch_NMC_45C_0-100_0.2-1.5C_cycle_data.csv,cycle_data,11636,4041,47d5e1e2,MICH_12H_pouch_NMC_45C_0-100_0.2-1.5C,MICH_12H,Michigan Expansion,NMC,pouch,45.0,0.0,100.0,0-100,0.2,1.5,NMC|pouch|45C|0-100|0.2-1.5C,parsed,
Michigan Expansion.zip,Michigan Expansion/MICH_13R_pouch_NMC_25C_50-100_0.2-0.2C_cycle_data.csv,MICH_13R_pouch_NMC_25C_50-100_0.2-0.2C_cycle_data.csv,cycle_data,32303,8155,40836c4f,MICH_13R_pouch_NMC_25C_50-100_0.2-0.2C,MICH_13R,Michigan Expansion,NMC,pouch,25.0,50.0,100.0,50-100,0.2,0.2,NMC|pouch|25C|50-100|0.2-0.2C,parsed,
Michigan Expansion.zip,Michigan Expansion/MICH_14C_pouch_NMC_-5C_50-100_0.2-0.2C_cycle_data.csv,MICH_14C_pouch_NMC_-5C_50-100_0.2-0.2C_cycle_data.csv,cycle_data,27130,6925,eb7f0eb3,MICH_14C_pouch_NMC_-5C_50-100_0.2-0.2C,MICH_14C,Michigan Expansion,NMC,pouch,-5.0,50.0,100.0,50-100,0.2,0.2,NMC|pouch|-5C|50-100|0.2-0.2C,parsed,
Michigan Expansion.zip,Michigan Expansion/MICH_15H_pouch_NMC_45C_50-100_0.2-0.2C_cycle_data.csv,MICH_15H_pouch_NMC_45C_50-100_0.2-0.2C_cycle_data.csv,cycle_data,10365,2635,842aec72,MICH_15H_pouch_NMC_45C_50-100_0.2-0.2C,MICH_15H,Michigan Expansion,NMC,pouch,45.0,50.0,100.0,50-100,0.2,0.2,NMC|pouch|45C|50-100|0.2-0.2C,parsed,
Michigan Expansion.zip,Michigan Expansion/MICH_16R_pouch_NMC_25C_50-100_0.2-1.5C_cycle_data.csv,MICH_16R_pouch_NMC_25C_50-100_0.2-1.5C_cycle_data.csv,cycle_data,34390,8783,f59559f6,MICH_16R_pouch_NMC_25C_50-100_0.2-1.5C,MICH_16R,Michigan Expansion,NMC,pouch,25.0,50.0,100.0,50-100,0.2,1.5,NMC|pouch|25C|50-100|0.2-1.5C,parsed,
Michigan Expansion.zip,Michigan Expansion/MICH_17C_pouch_NMC_-5C_50-100_0.2-1.5C_cycle_data.csv,MICH_17C_pouch_NMC_-5C_50-100_0.2-1.5C_cycle_data.csv,cycle_data,36819,9574,52ddd0d3,MICH_17C_pouch_NMC_-5C_50-100_0.2-1.5C,MICH_17C,Michigan Expansion,NMC,pouch,-5.0,50.0,100.0,50-100,0.2,1.5,NMC|pouch|-5C|50-100|0.2-1.5C,parsed,
Michigan Expansion.zip,Michigan Expansion/MICH_18H_pouch_NMC_45C_50-100_0.2-1.5C_cycle_data.csv,MICH_18H_pouch_NMC_45C_50-100_0.2-1.5C_cycle_data.csv,cycle_data,18926,4745,17fb1400,MICH_18H_pouch_NMC_45C_50-100_0.2-1.5C,MICH_18H,Michigan Expansion,NMC,pouch,45.0,50.0,100.0,50-100,0.2,1.5,NMC|pouch|45C|50-100|0.2-1.5C,parsed,
Michigan Formation.zip,Michigan Formation/MICH_BLForm10_pouch_NMC_25C_0-100_1-1C_j_cycle_data.csv,MICH_BLForm10_pouch_NMC_25C_0-100_1-1C_j_cycle_data.csv,cycle_data,32775,10202,8a044fa3,MICH_BLForm10_pouch_NMC_25C_0-100_1-1C_j,MICH_BLForm10,Michigan Formation,NMC,pouch,25.0,0.0,100.0,0-100,1.0,1.0,NMC|pouch|25C|0-100|1-1C,parsed,
