cycle_series_id,zip_file,internal_csv_path,file_name,source,cell_id,chemistry,form_factor,temperature_C,soc_window,charge_c_rate,discharge_c_rate,capacity_unit,total_rows,valid_cycle_rows,warning_rows,invalid_rows,min_cycle_index,max_cycle_index,baseline_capacity,baseline_cycle_count,baseline_method,baseline_status,initial_retention_pct,final_retention_pct,min_retention_pct,first_cycle_below_80pct,persistent_cycle_below_80pct,first_cycle_below_70pct,persistent_cycle_below_70pct,reached_80pct_threshold,reached_70pct_threshold,observed_censored_80pct,observed_censored_70pct,has_duplicate_cycle_index,has_nonmonotonic_cycle_index,mixed_capacity_unit,data_quality_status,data_quality_message
ba_6da7e2af2c4d,Michigan Expansion.zip,Michigan Expansion/MICH_09H_pouch_NMC_45C_0-100_2-2C_cycle_data.csv,MICH_09H_pouch_NMC_45C_0-100_2-2C_cycle_data.csv,Michigan Expansion,MICH_09H,NMC,pouch,45.0,0-100,2.0,2.0,Ah,175,175,0,0,1.0,175.0,4.786,5,first_5_valid_discharge_capacity_median_by_cycle_index,valid,100.48056832427916,63.18428750522358,63.18428750522358,120.0,120.0,154.0,154.0,True,True,False,False,False,False,False,analysis_candidate,80pct threshold reached
ba_ffd6fc7781a7,Michigan Expansion.zip,Michigan Expansion/MICH_10R_pouch_NMC_25C_0-100_0.2-1.5C_cycle_data.csv,MICH_10R_pouch_NMC_25C_0-100_0.2-1.5C_cycle_data.csv,Michigan Expansion,MICH_10R,NMC,pouch,25.0,0-100,0.2,1.5,Ah,439,438,1,0,1.0,439.0,4.53,5,first_5_valid_discharge_capacity_median_by_cycle_index,valid,100.22075055187638,75.82781456953643,0.0,357.0,390.0,357.0,,True,True,False,False,False,False,False,has_warnings,1 warning rows;80pct threshold reached
ba_c819ba010930,Michigan Expansion.zip,Michigan Expansion/MICH_11C_pouch_NMC_-5C_0-100_0.2-1.5C_cycle_data.csv,MICH_11C_pouch_NMC_-5C_0-100_0.2-1.5C_cycle_data.csv,Michigan Expansion,MICH_11C,NMC,pouch,-5.0,0-100,0.2,1.5,Ah,540,536,4,0,1.0,540.0,3.634,5,first_5_valid_discharge_capacity_median_by_cycle_index,valid,100.13758943313154,73.52779306549257,0.0,38.0,326.0,38.0,,True,True,False,False,False,False,False,has_warnings,4 warning rows;80pct threshold reached
ba_6c2d391122d6,Michigan Expansion.zip,Michigan Expansion/MICH_12H_pouch_NMC_45C_0-100_0.2-1.5C_cycle_data.csv,MICH_12H_pouch_NMC_45C_0-100_0.2-1.5C_cycle_data.csv,Michigan Expansion,MICH_12H,NMC,pouch,45.0,0-100,0.2,1.5,Ah,182,174,8,0,1.0,182.0,4.849,5,first_5_valid_discharge_capacity_median_by_cycle_index,valid,100.47432460301093,0.0,0.0,8.0,136.0,8.0,180.0,True,True,False,False,False,False,False,has_warnings,8 warning rows;80pct threshold reached
ba_591500f6af86,Michigan Expansion.zip,Michigan Expansion/MICH_13R_pouch_NMC_25C_50-100_0.2-0.2C_cycle_data.csv,MICH_13R_pouch_NMC_25C_50-100_0.2-0.2C_cycle_data.csv,Michigan Expansion,MICH_13R,NMC,pouch,25.0,50-100,0.2,0.2,Ah,532,532,0,0,1.0,532.0,2.498,5,first_5_valid_discharge_capacity_median_by_cycle_index,valid,100.0,100.0,100.0,,,,,False,False,True,True,False,False,False,analysis_candidate,no strong quality warning
ba_e5c2b4887b82,Michigan Expansion.zip,Michigan Expansion/MICH_14C_pouch_NMC_-5C_50-100_0.2-0.2C_cycle_data.csv,MICH_14C_pouch_NMC_-5C_50-100_0.2-0.2C_cycle_data.csv,Michigan Expansion,MICH_14C,NMC,pouch,-5.0,50-100,0.2,0.2,Ah,452,448,4,0,1.0,452.0,2.498,5,first_5_valid_discharge_capacity_median_by_cycle_index,valid,100.0,84.14731785428341,0.0,31.0,,31.0,,True,True,False,False,False,False,False,has_warnings,4 warning rows;80pct threshold reached
ba_aa0972ecbe1a,Michigan Expansion.zip,Michigan Expansion/MICH_15H_pouch_NMC_45C_50-100_0.2-0.2C_cycle_data.csv,MICH_15H_pouch_NMC_45C_50-100_0.2-0.2C_cycle_data.csv,Michigan Expansion,MICH_15H,NMC,pouch,45.0,50-100,0.2,0.2,Ah,171,167,4,0,1.0,171.0,2.498,5,first_5_valid_discharge_capacity_median_by_cycle_index,valid,100.0,0.0,0.0,8.0,,17.0,,True,True,False,False,False,False,False,has_warnings,4 warning rows;80pct threshold reached
ba_9c164015d642,Michigan Expansion.zip,Michigan Expansion/MICH_16R_pouch_NMC_25C_50-100_0.2-1.5C_cycle_data.csv,MICH_16R_pouch_NMC_25C_50-100_0.2-1.5C_cycle_data.csv,Michigan Expansion,MICH_16R,NMC,pouch,25.0,50-100,0.2,1.5,Ah,532,532,0,0,1.0,532.0,2.489,5,first_5_valid_discharge_capacity_median_by_cycle_index,valid,100.0,100.0,100.0,,,,,False,False,True,True,False,False,False,analysis_candidate,no strong quality warning
ba_1a8cc31105a8,Michigan Expansion.zip,Michigan Expansion/MICH_17C_pouch_NMC_-5C_50-100_0.2-1.5C_cycle_data.csv,MICH_17C_pouch_NMC_-5C_50-100_0.2-1.5C_cycle_data.csv,Michigan Expansion,MICH_17C,NMC,pouch,-5.0,50-100,0.2,1.5,Ah,557,556,1,0,1.0,557.0,2.489,5,first_5_valid_discharge_capacity_median_by_cycle_index,valid,100.0,100.0,0.0,106.0,,106.0,,True,True,False,False,False,False,False,has_warnings,1 warning rows;80pct threshold reached
ba_6b2e22f083c4,Michigan Expansion.zip,Michigan Expansion/MICH_18H_pouch_NMC_45C_50-100_0.2-1.5C_cycle_data.csv,MICH_18H_pouch_NMC_45C_50-100_0.2-1.5C_cycle_data.csv,Michigan Expansion,MICH_18H,NMC,pouch,45.0,50-100,0.2,1.5,Ah,295,290,5,0,1.0,295.0,2.489,5,first_5_valid_discharge_capacity_median_by_cycle_index,valid,100.0,99.83929288871033,0.0,15.0,,15.0,,True,True,False,False,False,False,False,has_warnings,5 warning rows;80pct threshold reached
